n,k,count,time
50,5,1,0.025
50,5,2,0.010
50,5,3,0.009
50,5,4,0.009
50,5,5,0.009
50,10,1,0.008
50,10,2,0.008
50,10,3,0.009
50,10,4,0.007
50,10,5,0.009
100,5,1,0.021
100,5,2,0.020
100,5,3,0.017
100,5,4,0.017
100,5,5,0.017
100,10,1,0.018
100,10,2,0.018
100,10,3,0.017
100,10,4,0.016
100,10,5,0.016
100,50,1,0.017
100,50,2,0.017
100,50,3,0.017
100,50,4,0.017
100,50,5,0.017
500,5,1,0.128
500,5,2,0.116
500,5,3,0.113
500,5,4,0.112
500,5,5,0.111
500,10,1,0.110
500,10,2,0.113
500,10,3,0.095
500,10,4,0.096
500,10,5,0.096
500,50,1,0.095
500,50,2,0.094
500,50,3,0.095
500,50,4,0.094
500,50,5,0.094
500,100,1,0.095
500,100,2,0.095
500,100,3,0.094
500,100,4,0.094
500,100,5,0.095
1000,5,1,0.215
1000,5,2,0.227
1000,5,3,0.207
1000,5,4,0.206
1000,5,5,0.204
1000,10,1,0.204
1000,10,2,0.208
1000,10,3,0.204
1000,10,4,0.204
1000,10,5,0.205
1000,50,1,0.207
1000,50,2,0.322
1000,50,3,0.275
1000,50,4,0.268
1000,50,5,0.215
1000,100,1,0.220
1000,100,2,0.199
1000,100,3,0.259
1000,100,4,0.221
1000,100,5,0.196
5000,5,1,1.454
5000,5,2,1.376
5000,5,3,1.274
5000,5,4,1.163
5000,5,5,1.144
5000,10,1,1.106
5000,10,2,1.084
5000,10,3,1.052
5000,10,4,1.045
5000,10,5,1.255
5000,50,1,1.233
5000,50,2,1.042
5000,50,3,1.313
5000,50,4,1.137
5000,50,5,1.196
5000,100,1,1.206
5000,100,2,1.354
5000,100,3,1.045
5000,100,4,1.317
5000,100,5,1.243
5000,1000,1,1.165
5000,1000,2,1.171
5000,1000,3,1.355
5000,1000,4,1.173
5000,1000,5,1.173
10000,5,1,2.459
10000,5,2,2.176
10000,5,3,2.255
10000,5,4,2.142
10000,5,5,2.104
10000,10,1,2.077
10000,10,2,2.471
10000,10,3,3.121
10000,10,4,2.197
10000,10,5,2.138
10000,50,1,2.147
10000,50,2,2.161
