n,k,time_1,time_2,time_3,time_4,time_5,time_avg,time_SD
50,5,0.007,0.001,0.002,0,0,0.002,0.00291547594742265
50,10,0.002,0.001,0.001,0.002,0,0.0012,0.000836660026534076
100,5,0.002,0.003,0.001,0.002,0.002,0.002,0.000707106781186548
100,10,0.001,0.001,0.001,0.002,0.001,0.0012,0.000447213595499958
100,50,0.001,0.017,0.001,0.002,0.001,0.0044,0.00705691150575094
500,5,0.007,0.023,0.005,0.004,0.004,0.0086,0.00814248119432891
500,10,0.004,0.004,0.003,0.003,0.003,0.0034,0.000547722557505166
500,50,0.004,0.005,0.005,0.003,0.004,0.0042,0.000836660026534076
500,100,0.008,0.009,0.009,0.008,0.008,0.0084,0.000547722557505166
1000,5,0.015,0.015,0.014,0.014,0.013,0.0142,0.000836660026534075
1000,10,0.014,0.014,0.013,0.014,0.014,0.0138,0.000447213595499958
1000,50,0.014,0.013,0.012,0.013,0.012,0.0128,0.000836660026534075
1000,100,0.015,0.016,0.015,0.015,0.015,0.0152,0.000447213595499958
5000,5,0.081,0.08,0.08,0.081,0.08,0.0804,0.000547722557505167
5000,10,0.079,0.081,0.08,0.079,0.08,0.0798,0.000836660026534076
5000,50,0.086,0.084,0.082,0.083,0.083,0.0836,0.00151657508881031
5000,100,0.082,0.08,0.08,0.081,0.08,0.0806,0.000894427190999917
5000,1000,0.085,0.085,0.083,0.083,0.083,0.0838,0.00109544511501033
10000,5,0.138,0.173,0.231,0.242,0.146,0.186,0.0480468521341409
10000,10,0.148,0.203,0.291,0.173,0.151,0.1932,0.0589338612344381
10000,50,0.21,0.229,0.195,0.194,0.184,0.2024,0.0175299743297017
10000,100,0.143,0.143,0.17,0.232,0.156,0.1688,0.037049966261793
10000,1000,0.244,0.32,0.164,0.175,0.164,0.2134,0.068292020031626
50000,5,0.807,0.764,0.777,0.745,0.761,0.7708,0.02322068043792
50000,10,0.764,0.767,0.771,0.768,0.793,0.7726,0.011674759098157
50000,50,0.775,0.786,1.216,0.751,0.818,0.8692,0.195357876728838
50000,100,0.894,0.831,0.84,0.755,0.743,0.8126,0.0630023809073911
50000,1000,0.8,0.975,0.819,0.8,0.845,0.8478,0.0734622351960516
100000,5,1.229,1.984,1.053,1.315,1.109,1.338,0.375297215550555
100000,10,1.118,1.166,1.037,1.326,1.761,1.2816,0.287990103996648
100000,50,1.071,1.077,1.081,1.131,1.106,1.0932,0.0249839948767206
100000,100,1.14,1.086,1.105,1.153,1.898,1.2764,0.348514418640033
100000,1000,1.089,1.14,1.281,1.215,1.131,1.1712,0.0763557463456419
500000,5,8.309,7.312,9.59,9.349,7.799,8.4718,0.980325303151969
500000,10,8.889,8.737,9.945,8.626,7.657,8.7708,0.81476634687498
500000,50,8.675,8.461,7.579,8.566,8.261,8.3084,0.43540532840102
500000,100,7.442,9.249,8.225,7.314,8.583,8.1626,0.806269371860298
500000,1000,8.208,7.435,9.55,9.625,8.908,8.7452,0.929174741369997
1000000,5,19.13,19.552,18.738,17.893,18.119,18.6864,0.689226595540247
1000000,10,18.967,19.816,18.426,18.02,17.585,18.5628,0.866505452954567
1000000,50,17.583,17.351,17.998,18.297,18.116,17.869,0.390817732453379
1000000,100,17.473,17.582,18.911,18.057,17.834,17.9714,0.57207718010772
1000000,1000,18.34,18.349,17.898,17.789,17.577,17.9906,0.343079145387765
5000000,5,85.621,84.661,85.883,85.658,85.266,85.4178,0.477280525477415
5000000,10,64.792,64.989,64.786,64.93,65.665,65.0324,0.36436835757239
5000000,50,66.302,64.626,64.55,65.281,67.421,65.636,1.22017437278448
5000000,100,60.254,58.346,57.129,55.883,58.471,58.0166,1.63256126990689
5000000,1000,55.582,55.523,56.243,56.717,56.028,56.0186,0.49356995451506
10000000,5,161.845,154.806,157.305,156.17,157.855,157.5962,2.64685373604209
10000000,10,117.237,116.835,120.754,116.692,117.23,117.7496,1.69662703621038
10000000,50,118.817,161.424,162.414,159.179,160.201,152.407,18.817152135751
10000000,100,86.788,87.621,86.361,86.825,86.199,86.7588,0.552323455956741
10000000,1000,86.117,89.756,109.488,108.955,112.842,101.4316,12.4755858098929
20000000,5,409.645,197.135,198.583,198.478,298.197,260.4076,94.0223626899473
20000000,10,292.151,294.935,404.855,403.293,172.053,313.4574,96.4575070111187
20000000,50,171.079,177.285,265.421,263.357,237.862,223.0008,45.9204725498334
20000000,100,237.145,239.381,247.861,242.689,248.308,243.0768,4.9812046936459
20000000,1000,339.228,332.779,320.848,325.597,229.4,309.5704,45.358410348027
50000000,5,855.317,756.256,663.476,600.144,486.149,672.2684,141.845314819701
50000000,10,781.993,867.152,641.318,826.109,809.198,785.154,86.1363523461494
50000000,50,740.428,519.183,460.487,618.769,780.047,623.7828,137.528522071605
50000000,100,875.824,705.182,771.571,602.635,545.195,700.0814,131.821696109935
50000000,1000,749.83,862.865,1110.402,627.562,661.811,802.494,194.691038644566
